trip_id,start_time,end_time,headway_secs,exact_times
trip_100,06:30:00,22:00:00,1200,0
trip_TNS,06:00:00,23:00:00,600,0
trip_TEO_1,06:00:00,23:00:00,600,0
trip_A,06:00:00,22:30:00,720,0
trip_B,06:00:00,22:30:00,720,0
trip_101,06:30:00,22:00:00,1200,0
trip_2,06:00:00,22:30:00,720,0
trip_102,06:30:00,22:00:00,1200,0
trip_103,06:30:00,22:00:00,1200,0
trip_121,06:30:00,22:00:00,1200,0
trip_C,06:00:00,22:30:00,720,0
trip_122,06:30:00,22:00:00,1200,0
trip_123,06:30:00,22:00:00,1200,0
trip_D,06:00:00,22:30:00,720,0
trip_E,06:00:00,22:30:00,720,0
trip_125,06:30:00,22:00:00,1200,0
trip_126,06:30:00,22:00:00,1200,0
trip_201A,06:30:00,22:00:00,1200,0
trip_3,06:00:00,22:30:00,600,0
trip_4,06:00:00,22:30:00,720,0
trip_204,06:30:00,22:00:00,1200,0
trip_205,06:30:00,22:00:00,1200,0
trip_300,06:30:00,22:00:00,1200,0
trip_301,06:30:00,22:00:00,1200,0
trip_302,06:30:00,22:00:00,1200,0
trip_303,06:30:00,22:00:00,1200,0
trip_304,06:30:00,22:00:00,1200,0
trip_242,06:30:00,22:00:00,1200,0
trip_243,06:30:00,22:00:00,1200,0
trip_305,06:30:00,22:00:00,1200,0
trip_420,07:00:00,20:00:00,1800,0
trip_208,06:30:00,22:00:00,1200,0
trip_210A,06:30:00,22:00:00,1200,0
trip_211,06:30:00,22:00:00,1200,0
trip_214,06:30:00,22:00:00,1200,0
trip_401,07:00:00,20:00:00,1800,0
trip_402,07:00:00,20:00:00,1800,0
trip_403,07:00:00,20:00:00,1800,0
trip_404,07:00:00,20:00:00,1800,0
trip_405,07:00:00,20:00:00,1800,0
trip_406,07:00:00,20:00:00,1800,0
trip_407,07:00:00,20:00:00,1800,0
trip_408,07:00:00,20:00:00,1800,0
trip_440A,07:00:00,20:00:00,1800,0
trip_441A,07:00:00,20:00:00,1800,0
trip_442,07:00:00,20:00:00,1800,0
trip_460,07:00:00,20:00:00,1800,0
trip_461A,07:00:00,20:00:00,1800,0
trip_462,07:00:00,20:00:00,1800,0
trip_140,07:00:00,20:00:00,1800,0
trip_141,07:00:00,20:00:00,1800,0
trip_142,07:00:00,20:00:00,1800,0
trip_260,07:00:00,20:00:00,1800,0
trip_340,07:00:00,20:00:00,1200,0
trip_341,07:00:00,20:00:00,1800,0
trip_262A,07:00:00,20:00:00,1800,0
trip_345,07:00:00,20:00:00,1200,0
trip_364,07:00:00,20:00:00,1800,0
trip_320,06:30:00,22:00:00,1200,0
trip_321,06:30:00,22:00:00,1200,0
trip_322A,06:30:00,22:00:00,1200,0
trip_323,06:30:00,22:00:00,1200,0
trip_104,06:30:00,22:00:00,1200,0
trip_TEO_2,06:00:00,23:00:00,600,0
trip_TEO_3,06:00:00,23:00:00,600,0
trip_129,06:30:00,22:00:00,1200,0
trip_130,06:30:00,22:00:00,1200,0
trip_202,06:30:00,22:00:00,1200,0
trip_206,06:30:00,22:00:00,1200,0
trip_210B,06:30:00,22:00:00,1200,0
trip_262E,07:00:00,20:00:00,1800,0
trip_262D,07:00:00,20:00:00,1800,0
trip_262C,07:00:00,20:00:00,1800,0
trip_262B,07:00:00,20:00:00,1800,0
trip_322B,06:30:00,22:00:00,1200,0
trip_440B,07:00:00,20:00:00,1800,0
trip_441F,07:00:00,20:00:00,1800,0
trip_441E,07:00:00,20:00:00,1800,0
trip_441D,07:00:00,20:00:00,1800,0
trip_441C,07:00:00,20:00:00,1800,0
trip_441B,07:00:00,20:00:00,1800,0
trip_461C,07:00:00,20:00:00,1800,0
trip_461B,07:00:00,20:00:00,1800,0
trip_201B,06:30:00,22:00:00,1200,0
trip_201C,06:30:00,22:00:00,1200,0
trip_210C,06:30:00,22:00:00,1200,0
