trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
T184765575,,,ST0001,1,,0,1
T184765575,,,ST0002,2,,1,0
T184765576,,,ST0001,1,,0,1
T184765576,,,ST0002,2,,1,0
T184765577,,,ST0003,1,,0,1
T184765577,,,ST0004,2,,1,0
T184765578,,,ST0005,1,,0,1
T184765578,,,ST0006,2,,1,0
T184765579,,,ST0007,1,,0,1
T184765579,,,ST0007,2,,1,0
T184765580,,,ST0008,1,,0,1
T184765580,,,ST0009,2,,1,0
T184765581,,,ST0010,1,,0,1
T184765581,,,ST0011,2,,1,0
T184765582,,,ST0012,1,,0,1
T184765582,,,ST0013,2,,1,0
T184765583,,,ST0014,1,,0,1
T184765583,,,ST0014,2,,1,0
T184765584,,,ST0015,1,,0,1
T184765584,,,ST0016,2,,1,0
T184765585,,,ST0017,1,,0,1
T184765585,,,ST0018,2,,1,0
T184765586,,,ST0019,1,,0,1
T184765586,,,ST0020,2,,1,0
T184765587,,,ST0021,1,,0,1
T184765587,,,ST0022,2,,1,0
T184765588,,,ST0023,1,,0,1
T184765588,,,ST0018,2,,1,0
T184765589,,,ST0015,1,,0,1
T184765589,,,ST0016,2,,1,0
T184765590,,,ST0024,1,,0,1
T184765590,,,ST0025,2,,1,0
T184765573,,,ST0026,1,,0,1
T184765573,,,ST0027,2,,1,0
T184765574,,,ST0028,1,,0,1
T184765574,,,ST0029,2,,1,0
T184765591,,,ST0030,1,,0,1
T184765591,,,ST0031,2,,1,0
T184765592,,,ST0032,1,,0,1
T184765592,,,ST0033,2,,1,0
T184765593,,,ST0032,1,,0,1
T184765593,,,ST0033,2,,1,0
T184765615,,,ST0034,1,,0,1
T184765615,,,ST0035,2,,1,0
T184765616,,,ST0036,1,,0,1
T184765616,,,ST0037,2,,1,0
T184765617,,,ST0038,1,,0,1
T184765617,,,ST0039,2,,1,0
T184765618,,,ST0040,1,,0,1
T184765618,,,ST0041,2,,1,0
T184765619,,,ST0042,1,,0,1
T184765619,,,ST0043,2,,1,0
T184765620,,,ST0044,1,,0,1
T184765620,,,ST0043,2,,1,0
T184765621,,,ST0045,1,,0,1
T184765621,,,ST0025,2,,1,0
T184765622,,,ST0046,1,,0,1
T184765622,,,ST0045,2,,1,0
T184765623,,,ST0047,1,,0,1
T184765623,,,ST0048,2,,1,0
T184765624,,,ST0049,1,,0,1
T184765624,,,ST0050,2,,1,0
T184765625,,,ST0051,1,,0,1
T184765625,,,ST0043,2,,1,0
T184765626,,,ST0052,1,,0,1
T184765626,,,ST0053,2,,1,0
T184765627,,,ST0054,1,,0,1
T184765627,,,ST0055,2,,1,0
T184765628,,,ST0056,1,,0,1
T184765628,,,ST0057,2,,1,0
T184765629,,,ST0058,1,,0,1
T184765629,,,ST0059,2,,1,0
T184765634,,,ST0060,1,,0,1
T184765634,,,ST0043,2,,1,0
T184765635,,,ST0059,1,,0,1
T184765635,,,ST0025,2,,1,0
T184765636,,,ST0059,1,,0,1
T184765636,,,ST0061,2,,1,0
T184765637,,,ST0062,1,,0,1
T184765637,,,ST0063,2,,1,0
T184765638,,,ST0064,1,,0,1
T184765638,,,ST0025,2,,1,0
T184765639,,,ST0064,1,,0,1
T184765639,,,ST0025,2,,1,0
T184765640,,,ST0045,1,,0,1
T184765640,,,ST0025,2,,1,0
T184765641,,,ST0063,1,,0,1
T184765641,,,ST0025,2,,1,0
T184765642,,,ST0063,1,,0,1
T184765642,,,ST0025,2,,1,0
T185312229,,,ST0025,1,,0,1
T185312229,,,ST0025,2,,1,0
T184765630,,,ST0065,1,,0,1
T184765630,,,ST0025,2,,1,0
T184765631,,,ST0066,1,,0,1
T184765631,,,ST0067,2,,1,0
T184765632,,,ST0068,1,,0,1
T184765632,,,ST0069,2,,1,0
T184765633,,,ST0069,1,,0,1
T184765633,,,ST0070,2,,1,0
T184765594,,,ST0071,1,,0,1
T184765594,,,ST0072,2,,1,0
T184765595,,,ST0073,1,,0,1
T184765595,,,ST0074,2,,1,0
T184765596,,,ST0075,1,,0,1
T184765596,,,ST0076,2,,1,0
T184765597,,,ST0077,1,,0,1
T184765597,,,ST0078,2,,1,0
T184765598,,,ST0075,1,,0,1
T184765598,,,ST0071,2,,1,0
T184765599,,,ST0079,1,,0,1
T184765599,,,ST0075,2,,1,0
T184765600,,,ST0080,1,,0,1
T184765600,,,ST0075,2,,1,0
T184765601,,,ST0081,1,,0,1
T184765601,,,ST0082,2,,1,0
T184765602,,,ST0083,1,,0,1
