stop_id,stop_name,stop_lat,stop_lon
ST0001,B° Ate-Api S,,
ST0002,Escuela De Educación Especial José De Cupertino N,,
ST0003,Viamonte Y Dominguito O,,
ST0004,Viamonte Y Dominguito E,,
ST0005,Av. Rawson Y Colombia O,,
ST0006,Lateral Sur Av. De Circunvalación Y Guillermo Marconi,,
ST0007,H. Yrigoyen Y Santa Fe E,,
ST0008,Av. Libertador Y Sgto. Baigorria S,,
ST0009,San Juan Y Sgto. Bautista Baigorria,,
ST0010,Boulonge Sur Y Ara San Juan,,
ST0011,Escuela Cruce De Los Andes B° Piuquén O,,
ST0012,Av. Libertador Y Salta S -B,,
ST0013,Av. Libertador Y Sgto. Baigorria N,,
ST0014,Cementerio Parque El Mirador,,
ST0015,Jorge Luis Borges Y Los Quebrachos S,,
ST0016,Jorge Luis Borges Y Los Quebrachos N,,
ST0017,I.N.P.R.E.S N,,
ST0018,Complejo Universitario Islas Malvinas Unsj S -A,,
ST0019,Av. Benavídez Y El Domador S,,
ST0020,Av. Benavídez Y El Domador N,,
ST0021,Necochea Y San Lorenzo,,
ST0022,Malvinas Argentinas Y S. M. Del Carril,,
ST0023,Pueyrredón Y Curupayti,,
ST0024,Plaza B° Conjunto 1-2-3 N,,
ST0025,Estación Terminal De Ómnibus San Juan,,
ST0026,Estación Córdoba - V° Observatorio. Chimbas,,
ST0027,Enrique Godoy Y Sto. Baigorria,,
ST0028,Plaza Almirante Brown - Trinidad E -A,,
ST0029,Plaza De Trinidad S,,
ST0030,Morón Y Agustín Roberto,,
ST0031,Chubut Y Moron,,
ST0032,Av. H. Yrigoyen Y Av. Sarmiento N,,
ST0033,Av. H. Yrigoyen Y Av. Sarmiento S,,
ST0034,Villa Villicum O,,
ST0035,Plaza Villa Villicum -A,,
ST0036,Plaza De Chimbas E,,
ST0037,Meglioli Y Av. Ig. De La Roza E -A,,
ST0038,Valle Fértil Y Quiroga E,,
ST0039,López Y Planes Y Av. Benavidez,,
ST0040,Rastreador Calivar Y El Paisano E,,
ST0041,El Criollo Y Rastreador Calivar,,
ST0042,Centenario Y Proyectada S,,
ST0043,Avellaneda Y Santa Fe,,
ST0044,Plaza De Chimbas N,,
ST0045,Pueyrredón Y Santa Fe E,,
ST0046,Plaza B° Natania VIII,,
ST0047,Plaza Lote Hogar 59,,
ST0048,B° Lote Hogar 59,,
ST0049,13 De Junio Y 3 De Febrero,,
ST0050,Ruta N. N°40 Y 13 De Junio,,
ST0051,Av. 9 De Julio Y Estados Unidos N -B,,
ST0052,Centro De Convenciones,,
ST0053,La Laja Y Las Piedritas E,,
ST0054,Parque Latinoamericano De Albardón N -B,,
ST0055,Plaza Villa Villicum -B,,
ST0056,Escuela Adán Quiroga E,,
ST0057,Sarmiento Y Hospital Giordano,,
ST0058,Cic Albardón,,
ST0059,Parque Latinoamericano De Albardón S -B,,
ST0060,Proyectada Y Sarmiento O,,
ST0061,Nacional Y Sarmiento O,,
ST0062,Sarmiento Y Libertad S,,
ST0063,Nacional Y Aguilera E,,
ST0064,Nacional Y Aguilera O -B,,
ST0065,Club Punta Del Monte O,,
ST0066,Av. Córdoba Y Las Heras,,
ST0067,Alfonsina Storni Y Ceferino Namuncurá E,,
ST0068,Escuela Antonio Pulenta N,,
ST0069,Estación Córdoba - Chimbas - Angaco - San Martín,,
ST0070,Escuela Antonio Pulenta S,,
ST0071,9 De Julio Y Segundino Navarro N -A,,
ST0072,Gruta Virgen Del Luján S,,
ST0073,Proyectada Y Proyectada 9 S,,
ST0074,Proyectada Y Proyectada 9 N,,
ST0075,9 De Julio Y Segundino Navarro N -B,,
ST0076,Plaza B° Bilbao O,,
ST0077,Aeropuerto De San Juan N,,
ST0078,Aeropuerto De San Juan S,,
ST0079,Juan José Bustos Y Fray Mamerto Esquiú,,
ST0080,Terminal De Ómnibus De Caucete,,
ST0081,Escuela Horacio Mann,,
ST0082,Acceso Plataforma Terminal De Caucete N,,
ST0083,Acceso Plataforma Terminal De Caucete S,,
ST0084,L. Alem Y Av. De Los Ríos E,,
ST0085,San Martín Y Sgto. Cabral,,
ST0086,Escuela Domingo De Oro S,,
ST0087,Escuela De Educación Especial 25 De Mayo N,,
ST0088,Escuela Albergue Dr. Navarro N,,
ST0089,Av. Uruguay Y B° Covisar S,,
ST0090,Calle 10- Bº Nuevo S,,
ST0091,Terminal De Ómnibus De San Juan S,,
ST0092,Barrio Pituil - Los Alamedos S,,
ST0093,Gendarmería Villa Nueva,,
ST0094,Plaza Centenario. Villa Krause -A,,
ST0095,Furque Y Picón,,
ST0096,Colegio Secundario Profesor Frolián J. Ferrero,,
ST0097,España Y Ezpeleta O,,
ST0098,Santa Rosa Y Quiroz,,
ST0099,Blvd. Sarmiento Y Av. España S,,
ST0100,Cic Médano De Oro,,
ST0101,Escuela Héctor Conte Grand S,,
ST0102,Plaza Bolaños E,,
ST0103,Ing. Marcos Zalazar E Independencia,,
ST0104,Av. Libertador Y Salta N,,
ST0105,Escuela Antonio Torres,,
ST0106,Av. España Y Blvd. Sarmiento,,
ST0107,B° Río Blanco O,,
ST0108,Av. España Y Av. Libertador -B,,
ST0109,Manuel Quiroga Y Maurin,,
ST0110,B° 7 De Septiembre N,,
ST0111,B° Lagares Mz. E,,
ST0112,Proyectada - B° Valle Grande S,,
ST0113,Mendoza Y Blvd. Sarmiento O,,
ST0114,Madre Teresa Y Pedro Alvares,,
