route_id,service_id,trip_id,trip_headsign,direction_id
184765575,DIAS_HABILES,T184765575,Barrio Ate Api - Centro Cívico - Av. Rawson y Santa Fe,0
184765576,DIAS_HABILES,T184765576,Barrio Ate Api - Complejo Deportivo El Palomar - Hospital Rawson,0
184765577,DIAS_HABILES,T184765577,Barrio Las Acacias - Hospital Rawson - Estación Córdoba,0
184765578,DIAS_HABILES,T184765578,Av. Circunvalación y Av. Rawson,0
184765579,DIAS_HABILES,T184765579,Villa Del Bono - Plaza De Trinidad - Estación Córdoba,0
184765580,DIAS_HABILES,T184765580,Barrio Soldado Argentino - Barrio Valle Grande -Barrio Soldado Argentino,0
184765581,DIAS_HABILES,T184765581,B° Piuquén - Parque De Rivadavia - Centro,0
184765582,DIAS_HABILES,T184765582,Av. Libertador Y España - Av. Libertador Y Baigorria,0
184765583,DIAS_HABILES,T184765583,Cementerio El Mirador - Centro Cívico - Plaza Aberastain,0
184765584,DIAS_HABILES,T184765584,B° Cgt Rivadavia - Hospital Rawson,0
184765585,DIAS_HABILES,T184765585,Av. Libertador Y Roger Balet,0
184765586,DIAS_HABILES,T184765586,Villa Obrera - Complejo El Palomar - Hospital Rawson,0
184765587,DIAS_HABILES,T184765587,Necochea Y San Lorenzo - Parque De Rivadavia,0
184765588,DIAS_HABILES,T184765588,Barrio CGT Chimbas - Universidades,0
184765589,DIAS_HABILES,T184765589,B° Cgt Rivadavia - Centro,0
184765590,DIAS_HABILES,T184765590,Calle 5 Y Pellegrini - Terminal De Ómnibus De San Juan,0
184765573,DIAS_HABILES,T184765573,Estación Córdoba - Av. Libertador Y Baigorria,0
184765574,DIAS_HABILES,T184765574,Plaza Trinidad - Centro Cívico - Estación Córdoba,0
184765591,DIAS_HABILES,T184765591,La Bebida - Lote Hogar 3 - Hospital Rawson,0
184765592,DIAS_HABILES,T184765592,Esquina Del Sauce - La Bebida - Barrio El Jilguero,0
184765593,DIAS_HABILES,T184765593,Esquina Del Sauce - La Bebida - Barrio Conjunto 5,0
184765615,DIAS_HABILES,T184765615,Bº Kirchner Campo Afuera - Centro Cívico - Bº Kirchner Campo Afuera,0
184765616,DIAS_HABILES,T184765616,Plaza De Chimbas - Universidades,0
184765617,DIAS_HABILES,T184765617,Villa Observatorio - Hospital Rawson - Villa Observatorio,0
184765618,DIAS_HABILES,T184765618,Av. Dr. Guillermo Rawson y Santa Fe,0
184765619,DIAS_HABILES,T184765619,Barrio Las Calandrias - Terminal De Ómnibus De San Juan,0
184765620,DIAS_HABILES,T184765620,Plaza De Chimbas - Terminal De Ómnibus De San Juan,0
184765621,DIAS_HABILES,T184765621,Barrio Las Calandrias - Plaza Chimbas - Centro Cívico - Hospital Rawson,0
184765622,DIAS_HABILES,T184765622,Barrio Natania VIII - Terminal De Ómnibus De San Juan,0
184765623,DIAS_HABILES,T184765623,Lote Hogar 59 - Villa Paula - Centro Cívico,0
184765624,DIAS_HABILES,T184765624,Villa Mariano Moreno - Hospital Rawson - Centro Cívico,0
184765625,DIAS_HABILES,T184765625,Benavidez Y Flores - Plaza Chimbas - Centro Cívico - Hospital Rawson Der.,0
184765626,DIAS_HABILES,T184765626,Centro Cívico - Piedritas,0
184765627,DIAS_HABILES,T184765627,Campo Afuera,0
184765628,DIAS_HABILES,T184765628,Hospital J. Giordano,0
184765629,DIAS_HABILES,T184765629,La Laja Y Nacional - Hospital Giordano,0
184765634,DIAS_HABILES,T184765634,Centro,0
184765635,DIAS_HABILES,T184765635,Centro,0
184765636,DIAS_HABILES,T184765636,Villa El Salvador,0
184765637,DIAS_HABILES,T184765637,Villa El Salvador,0
184765638,DIAS_HABILES,T184765638,Centro,0
184765639,DIAS_HABILES,T184765639,Centro,0
184765640,DIAS_HABILES,T184765640,Centro -Villa El Salvador - Centro,0
184765641,DIAS_HABILES,T184765641,Centro,0
184765642,DIAS_HABILES,T184765642,Centro,0
185312229,DIAS_HABILES,T185312229,Centro - Villa El Salvador,0
184765630,DIAS_HABILES,T184765630,Centro,0
184765631,DIAS_HABILES,T184765631,Centro - Dos Acequias,0
184765632,DIAS_HABILES,T184765632,A - Boca Del Tigre - Estación Córdoba,0
184765633,DIAS_HABILES,T184765633,Boca Del Tigre,0
184765594,DIAS_HABILES,T184765594,Caucete,0
184765595,DIAS_HABILES,T184765595,Las Chacritas - Cementerio De Santa Lucía - Centro Cívico - Las Chacritas,0
184765596,DIAS_HABILES,T184765596,Barrio Cooperativa,0
184765597,DIAS_HABILES,T184765597,A - Aeropuerto D.F. Sarmiento - Centro Cívico - Aeropuerto D.F. Sarmiento,0
184765598,DIAS_HABILES,T184765598,Centro Cívico - Barrio Del Sur - Centro Cívico,0
184765599,DIAS_HABILES,T184765599,Centro Cívico,0
184765600,DIAS_HABILES,T184765600,Centro Cívico,0
