service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
100_svc1,1,1,1,1,1,0,0,20260101,20261231
100_svc2,0,0,0,0,0,1,0,20260101,20261231
100_svc3,0,0,0,0,0,0,1,20260101,20261231
101_svc1,1,1,1,1,1,0,0,20260101,20261231
101_svc2,0,0,0,0,0,1,0,20260101,20261231
101_svc3,0,0,0,0,0,0,1,20260101,20261231
102_svc1,1,1,1,1,1,0,0,20260101,20261231
102_svc2,0,0,0,0,0,1,0,20260101,20261231
102_svc3,0,0,0,0,0,0,1,20260101,20261231
103_svc1,1,1,1,1,1,0,0,20260101,20261231
104_svc1,1,1,1,1,1,0,0,20260101,20261231
104_svc2,0,0,0,0,0,1,0,20260101,20261231
104_svc3,0,0,0,0,0,0,1,20260101,20261231
120_svc1,1,1,1,1,1,0,0,20260101,20261231
120_svc2,0,0,0,0,0,1,0,20260101,20261231
120_svc3,0,0,0,0,0,0,1,20260101,20261231
121_svc1,1,1,1,1,1,0,0,20260101,20261231
121_svc2,0,0,0,0,0,1,0,20260101,20261231
121_svc3,0,0,0,0,0,0,1,20260101,20261231
122_svc1,1,1,1,1,1,0,0,20260101,20261231
123_svc1,1,1,1,1,1,0,0,20260101,20261231
123_svc2,0,0,0,0,0,1,0,20260101,20261231
123_svc3,0,0,0,0,0,0,1,20260101,20261231
124_svc1,1,1,1,1,1,0,0,20260101,20261231
124_svc2,0,0,0,0,0,1,0,20260101,20261231
124_svc3,0,0,0,0,0,0,1,20260101,20261231
125_svc1,1,1,1,1,1,0,0,20260101,20261231
125_svc2,0,0,0,0,0,1,0,20260101,20261231
126_svc1,1,1,1,1,0,0,0,20260101,20261231
126_svc2,0,0,0,0,1,0,0,20260101,20261231
126_svc3,0,0,0,0,0,1,0,20260101,20261231
126_svc4,0,0,0,0,0,0,1,20260101,20261231
127_svc1,1,1,1,1,1,0,0,20260101,20261231
127_svc2,0,0,0,0,0,1,0,20260101,20261231
128_svc1,1,1,1,1,1,0,0,20260101,20261231
128_svc2,0,0,0,0,0,1,1,20260101,20261231
129_svc1,1,1,1,1,1,0,0,20260101,20261231
129_svc2,0,0,0,0,0,1,0,20260101,20261231
129_svc3,0,0,0,0,0,0,1,20260101,20261231
130_svc1,1,1,1,1,1,0,0,20260101,20261231
130_svc2,0,0,0,0,0,1,1,20260101,20261231
b_svc1,1,1,1,1,1,0,0,20260101,20261231
b_svc2,0,0,0,0,0,1,0,20260101,20261231
b_svc3,0,0,0,0,0,0,1,20260101,20261231
e_svc1,1,1,1,1,1,0,0,20260101,20261231
e_svc2,0,0,0,0,0,1,0,20260101,20261231
e_svc3,0,0,0,0,0,0,1,20260101,20261231
teo1_svc1,1,1,1,1,1,0,0,20260101,20261231
teo1_svc2,0,0,0,0,0,1,1,20260101,20261231
teo2_svc1,1,1,1,1,1,1,0,20260101,20261231
teo2_svc2,0,0,0,0,0,0,1,20260101,20261231
teo3_svc1,1,1,1,1,1,0,0,20260101,20261231
teo3_svc2,0,0,0,0,0,1,0,20260101,20261231
teo3_svc3,0,0,0,0,0,0,1,20260101,20261231
4_svc1,1,1,1,1,1,0,0,20260101,20261231
4_svc2,0,0,0,0,0,1,0,20260101,20261231
4_svc3,0,0,0,0,0,0,1,20260101,20261231
40_svc1,1,1,1,1,1,0,0,20260101,20261231
400_svc1,1,1,1,1,1,0,0,20260101,20261231
400_svc2,0,0,0,0,0,1,0,20260101,20261231
400_svc3,0,0,0,0,0,0,1,20260101,20261231
401_svc1,1,1,1,1,1,0,0,20260101,20261231
401_svc2,0,0,0,0,0,1,0,20260101,20261231
401_svc3,0,0,0,0,0,0,1,20260101,20261231
402_svc1,1,1,1,1,1,0,0,20260101,20261231
402_svc2,0,0,0,0,0,1,0,20260101,20261231
402_svc3,0,0,0,0,0,0,1,20260101,20261231
403_svc1,1,1,1,1,1,0,0,20260101,20261231
403_svc2,0,0,0,0,0,1,0,20260101,20261231
403_svc3,0,0,0,0,0,0,1,20260101,20261231
404_svc1,1,1,1,1,1,0,0,20260101,20261231
404_svc2,0,0,0,0,0,1,0,20260101,20261231
404_svc3,0,0,0,0,0,0,1,20260101,20261231
405_svc1,1,1,1,1,1,0,0,20260101,20261231
405_svc2,0,0,0,0,0,1,0,20260101,20261231
405_svc3,0,0,0,0,0,0,1,20260101,20261231
406_svc1,1,1,1,1,1,0,0,20260101,20261231
406_svc2,0,0,0,0,0,1,0,20260101,20261231
406_svc3,0,0,0,0,0,0,1,20260101,20261231
407_svc1,1,1,1,1,1,0,0,20260101,20261231
407_svc2,0,0,0,0,0,1,0,20260101,20261231
407_svc3,0,0,0,0,0,0,1,20260101,20261231
408_svc1,1,1,1,1,1,0,0,20260101,20261231
408_svc2,0,0,0,0,0,1,0,20260101,20261231
408_svc3,0,0,0,0,0,0,1,20260101,20261231
420_svc1,1,1,1,1,1,0,0,20260101,20261231
420_svc2,0,0,0,0,0,1,0,20260101,20261231
420_svc3,0,0,0,0,0,0,1,20260101,20261231
421_svc1,1,1,1,1,1,1,1,20260101,20261231
422_svc1,1,1,1,1,1,0,0,20260101,20261231
422_svc2,0,0,0,0,0,1,1,20260101,20261231
423_svc1,1,1,1,1,1,0,0,20260101,20261231
440_a_svc1,1,1,1,1,1,0,0,20260101,20261231
440_a_svc2,0,0,0,0,0,1,0,20260101,20261231
440_a_svc3,0,0,0,0,0,0,1,20260101,20261231
440_b_svc1,1,1,1,1,1,0,0,20260101,20261231
