route_id,agency_id,route_short_name,route_long_name,route_type
184765575,3760653,100,Barrio ATE API - Av. Dr. Guillermo Rawson y Santa Fe,3
184765576,3760653,101,Barrio ATE API - Hospital Rawson,3
184765577,3760653,102,Barrio Las Acacias  - Hospital Rawson - Estación Córdoba,3
184765578,3760653,103,Plaza Juan Jufré - Plaza de Trinidad,3
184765579,3760653,104,Villa del Bono - Plaza Trinidad - Estación Córdoba,3
184765580,3760653,120,Villa Observatorio - Barrio Valle Grande,3
184765581,3760653,121,B° Piuquén - Parque de Rivadavia - Centro,3
184765582,3760653,122,Marquesado - Av. Dr. Guillermo Rawson y Santa Fe,3
184765583,3760653,123,Marquesado,3
184765584,3760653,124,B° CGT Rivadavia - Hospital Rawson,3
184765585,3760653,125,Complejo Universitario Islas Malvinas UNSJ - Hospital M. Quiroga - Centro Cívico - Hospital Rawson,3
184765586,3760653,126,Villa Obrera - Hospital Rawson,3
184765587,3760653,127,Universidades - Villa América,3
184765588,3760653,128,Barrio CGT Chimbas - Universidades,3
184765589,3760653,129,B° CGT Rivadavia - Centro Cívico - Plaza Aberastain,3
184765590,3760653,130,Terminal Ómnibus de San Juan -  Calle 5 y Pellegrini,3
184765573,3760653,B,Corredor Benavidez,3
184765574,3760653,E,Corredor Trinidad,3
184765591,3760653,TEO1,Troncal Este - Oeste,3
184765592,3760653,TEO2,Troncal Este - Oeste,3
184765593,3760653,TEO3,Troncal Este - Oeste,3
184765615,3760655,4,Inter Urbana Norte,3
184765616,3760655,40,Perimetral Norte,3
184765617,3760655,400,Villa Obrera - Hospital Rawson,3
184765618,3760655,401,Villa Obrera - Centro,3
184765619,3760655,402,Bº El Chañar - Avellaneda y Santa Fe,3
184765620,3760655,403,Villa Paula - Centro Cívico- Hospital Rawson,3
184765621,3760655,404,Barrio Las Calandrias - Plaza Chimbas - Hospital Rawson,3
184765622,3760655,405,Bº Natania VIII - Centro Cívico - Hospital Rawson,3
184765623,3760655,406,Lote Hogar 59 - Plaza Aberastain,3
184765624,3760655,407,V ª Mariano Moreno - Salta y Av. Gral Libertador San Martin,3
184765625,3760655,408,El Mogote - Vº P. A. de Sarmiento - Centro Cívico - Htal. Rawson,3
184765626,3760655,420,Piedritas - Centro Civico,3
184765627,3760655,421,Campo Afuera - Villa Gral. San Martin,3
184765628,3760655,422,El Rincon - Hospital J. Giordano,3
184765629,3760655,423,Villa General San Martín - Calle Lozano,3
184765634,3760655,440-A,Villa Gral. San Martín - Villa El Salvador - Centro,3
184765635,3760655,440-B,Albardón - Villa El Salvador - Centro,3
184765636,3760655,440-C,Villa El Salvador - Villa Sefair - Villa General San Martín,3
184765637,3760655,440-D,Villa El Salvador - Villa General San Martín,3
184765638,3760655,441-A,Centro - Villa El Salvador,3
184765639,3760655,441-B,Centro - Colonia Sur,3
184765640,3760655,441-C,Centro - Las Tapias - Cementerio,3
184765641,3760655,441-D,Centro - El Bosque,3
184765642,3760655,441-E,Las Tapias - Campo de Batalla,3
185312229,3760655,441-F,Terminal de Omnibus de San Juan - Vª El Salvador,3
184765630,3760655,442,Vª El Salvador - El Bosque - Santa Fe y EEUU,3
184765631,3760655,460,Dos Acequias - Vº Don Bosco - Vº Dominguito - San Isidro - Vº San Martin,3
