stop_id,stop_name
ST0001,B° Ate-Api S
ST0002,Molina Y Cipolletti
ST0003,Virgen De Lourdes Y Zuluaga S
ST0004,Vice Gdor. Cattani Y Fray M. Esquiú O
ST0005,Escuela General Mariano Bartolomé Carreras O
ST0006,Bazán Agras Y Zuluaga N
ST0007,Bazan Agras Y Cipolleti N
ST0008,Cipolletti Y Bazán Agras O
ST0009,Cipolletti Y Cabildo O
ST0010,Cipolletti Y Sgto. Cabral
ST0011,Polideportivo B° Fuva S
ST0012,B° Fuva - Dr. Driolet
ST0013,Plaza B° Fuva
ST0014,San Lorenzo Y Olegario Andrade S
ST0015,San Lorenzo Y Esteban Echeverría
ST0016,Esteban Echeverría Y Tacuarí E
ST0017,Esteban Echeverría Y Sgto. Cabral
ST0018,Sgto. Cabral Y Roger Balet S
ST0019,Sgto. Cabral Y López Mansilla
ST0020,Club Enfermera Medina S
ST0021,Sgto. Cabral Y Viamonte
ST0022,Sgto. Cabral Y Paula A. De Sarmiento S
ST0023,San Lorenzo Y Perito Moreno S
ST0024,San Lorenzo Y French S
ST0025,Caps Dr. Alfonso Barassi N
ST0026,Capilla Ntra. Sra. Del Carmen
ST0027,Matias Zavalla Y Falucho
ST0028,Matías Zavalla Y Noruega O
ST0029,Matías Zavalla Y Juan Jufré
ST0030,Juan Jufré Y Borja Toranzo S
ST0031,Juan Jufré Y Urquiza
ST0032,Plaza Ejército Argentino O
ST0033,Urquiza Y Alberdi
ST0034,Museo De La Memoria Urbana S
ST0035,25 De Mayo Y Dr. Ortega S
ST0036,Centro De Convenciones
ST0037,Av. España Y San Luis
ST0038,Av. Libertador Y Salta S -B
ST0039,Plaza Laprida S -A
ST0040,Av. Libertador Y Mendoza S -B
ST0041,Av. Libertador Y Tucumán S -B
ST0042,Av. Libertador Y Caseros S -B
ST0043,Av. Libertador Y Av. Rawson S -A
ST0044,Av. Rawson Y Mitre O -B
ST0045,Av. Rawson Y Av. Córdoba O -A
ST0046,Av. Córdoba Y Aberastain N
ST0047,Av. Córdoba Y Av. Rioja N -B
